plotname,lon,lat,dom_species,step,Biomass_ag,Biomass_bg
Ribera,1.39384,42.02847,Pinus nigra,10,64.1,14
Eibenstock_A,12.561,50.4697,Picea abies,10,135.7,27.61
Eibenstock_B,12.561,50.4697,Picea abies,10,162.9,24.79
Eibenstock_U,12.561,50.4697,Picea abies,10,145.31,30.63
